Gpu,Rating,Performance
AMD Radeon R7 ,518,0.78
AMD RADEON R7 GRAPHICS,,0.78
AMD Radeon R7 240,541,0.69
AMD Radeon R7 250,452,1.5
AMD Radeon R7 250X,339,3.79
AMD Radeon R7 260,292,5.41
AMD Radeon R7 260X,265,6.58
AMD Radeon R7 360,262,6.87
AMD Radeon R7 370,193,12.24
AMD Radeon R7 384 Cores ,444,1.5
AMD Radeon R7 512 Cores ,436,1.66
AMD Radeon R7 A265,536,0.7
AMD Radeon R7 M260,629,0.34
AMD Radeon R7 M260DX,609,0.47
AMD Radeon R7 M260X,488,1.14
AMD Radeon R7 M265,753,0.13
AMD Radeon R7 M270,771,0.12
AMD Radeon R7 M275DX,416,2.37
AMD Radeon R7 M340,711,0.23
AMD Radeon R7 M350,474,1.29
AMD Radeon R7 M360,587,0.5
AMD Radeon R7 M365X,571,0.62
AMD Radeon R7 M370,458,1.47
AMD Radeon R7 M380,455,1.5
AMD Radeon R7 M440,548,0.67
AMD Radeon R7 M445,521,0.77
AMD Radeon R7 M460,484,1.18
AMD Radeon R7 M465,493,1.14
AMD Radeon R7 M465X,368,3.26
AMD Radeon R8 M365DX,584,0.5
AMD Radeon R8 M445DX,756,0.13
AMD Radeon R8 M535DX,590,0.49
AMD Radeon R9 270,215,9.76
AMD Radeon R9 270X,184,13.08
AMD Radeon R9 280,163,20.21
AMD Radeon R9 280X,153,21.57
AMD Radeon R9 290X,105,30.28
AMD Radeon R9 295X2,103,31.69
AMD Radeon R9 370,183,13.15
AMD Radeon R9 380,134,24.95
AMD Radeon R9 380X,138,24.79
AMD Radeon R9 M265X,462,1.35
AMD Radeon R9 M270X,456,1.49
AMD Radeon R9 M275,489,1.14
AMD Radeon R9 M280X,354,3.53
AMD Radeon R9 M290X,222,9.72
AMD Radeon R9 M290X Crossfire,116,29.21
AMD Radeon R9 M295X,174,18.77
AMD Radeon R9 M360,370,3.26
AMD Radeon R9 M365X,427,1.68
AMD Radeon R9 M370X,378,3.08
AMD Radeon R9 M375,477,1.27
AMD Radeon R9 M375X,351,3.55
AMD Radeon R9 M380,268,6.24
AMD RADEON R9 M385,,6.24
AMD Radeon R9 M385X,574,0.6
AMD Radeon R9 M390,311,4.86
AMD Radeon R9 M390X,207,10.09
AMD Radeon R9 M395,176,18.31
AMD Radeon R9 M395X,155,21.36
AMD Radeon R9 M470,334,4.05
AMD Radeon R9 M470X,243,8.46
AMD Radeon RX 460,209,10.04
AMD Radeon RX 460 Mobile,245,8.2
AMD Radeon RX 470,104,31.65
AMD Radeon RX 470 Mobile,129,27.08
AMD Radeon RX 480 Mobile,271,6.24
AMD Radeon RX 5300M,142,24.11
AMD Radeon RX 540,297,5.21
AMD Radeon RX 550,252,7.82
AMD Radeon RX 550 Mobile,224,9.26
AMD Radeon RX 5500M,114,29.21
AMD Radeon RX 550X,352,3.53
AMD Radeon RX 550X Mobile,258,7.33
AMD Radeon RX 560,210,9.98
AMD Radeon RX 560 Mobile,242,8.46
AMD Radeon RX 560X,244,8.2
AMD Radeon RX 560X Mobile,189,12.47
AMD Radeon RX 570,126,28
AMD Radeon RX 580,102,31.8
AMD Radeon RX Vega 10,393,2.72
AMD Radeon RX Vega 11,332,4.05
AMD Radeon RX Vega 3,485,1.18
AMD Radeon RX Vega 6,372,3.26
AMD Radeon RX Vega 8,392,2.75
AMD Radeon RX Vega 9,316,4.52
AMD Radeon RX Vega M GH,123,28.62
AMD Radeon RX Vega M GL,169,19.71
AMD Radeon RX Vega M GL / 870,148,23.08
AMD Radeon Sky 500,180,17.82
AMD Radeon Vega 11,384,2.93
AMD Radeon Vega 3,511,0.93
AMD Radeon Vega 3 Mobile,519,0.78
ATI FirePro M5800,565,0.63
ATI FirePro M7740,430,1.66
ATI FirePro V5800,459,1.46
ATI Mobility FireGL V5700,896,0.05
ATI Mobility Radeon HD 2600 XT,881,0.07
ATI Mobility Radeon HD 3650,897,0.05
ATI Mobility Radeon HD 3670,877,0.07
