names,Frequency,count
Intel Xeon X5492 , 3.40GHz,4865
AMD Opteron 6274,,4865
Intel Pentium G4560 , 3.50GHz,4862
Intel Core i5 4340M , 2.90GHz,4861
Intel Core i3 6100T , 3.20GHz,4858
AMD A10 6800K APU,,4858
Intel Atom C3858 , 2.00GHz,4852
Intel Core i7 870S , 2.67GHz,4849
AMD A10 6800B APU,,4822
Intel Core i5 4570T , 2.90GHz,4816
Intel Core i7 6560U , 2.20GHz,4815
AMD FX 770K Quad Core,,4811
Intel Core i3 4130 , 3.40GHz,4805
Intel Core i3 8121U , 2.20GHz,4802
Intel Core i7 6600U , 2.60GHz,4800
AMD Phenom II X6 1045T,,4795
AMD FX 9830P,,4783
Intel Core i7 4578U , 3.00GHz,4780
Intel Xeon E5620 , 2.40GHz,4770
AMD PRO A12 9800E,,4769
Intel Core i3 7167U , 2.80GHz,4757
AMD A8 PRO 7600B APU,,4752
Intel Core i5 6287U , 3.10GHz,4751
Intel Xeon X3450 , 2.67GHz,4748
AMD A10 9700E,,4747
Intel Xeon E5540 , 2.53GHz,4747
Intel Xeon E5 2407 v2 , 2.40GHz,4724
AMD A10 6790K APU,,4718
AMD Opteron 2435,,4708
AMD Athlon X4 830,,4701
Intel Core i5 5287U , 2.90GHz,4700
AMD FX 4300 Quad Core,,4695
Intel Core i5 6360U , 2.00GHz,4686
AMD Ryzen 3 3200U,,4675
Intel Core i7 3540M , 3.00GHz,4669
AMD Phenom II X6 1035T,,4664
AMD Opteron X3418 APU,,4659
Intel Core i5 4310M , 2.70GHz,4655
AMD A10 5800K APU,,4649
Intel Core i5 2500T , 2.30GHz,4647
Intel Core2 Extreme X9775 , 3.20GHz,4646
Intel Core i3 4360T , 3.20GHz,4636
AMD Embedded R Series RX 421BD,,4635
AMD Athlon 300U,,4634
AMD Opteron 6136,,4631
AMD FX 7600P APU,,4627
Intel Core i3 7100H , 3.00GHz,4627
AMD A8 6500B APU,,4616
AMD A10 5800B APU,,4614
AMD FX B4150 Quad Core,,4611
Intel Xeon E5 2609 , 2.40GHz,4610
Intel Core2 Extreme X9770 , 3.20GHz,4608
AMD A10 6700 APU,,4605
Intel Xeon X3380 , 3.16GHz,4600
AMD Athlon X4 760K Quad Core,,4596
AMD FX 4150 Quad Core,,4594
AMD A8 6600K APU,,4592
AMD Ryzen 3 2200U,,4590
AMD Ryzen Embedded R1505G,,4578
Intel Xeon X5470 , 3.33GHz,4577
Intel Core i5 7200U , 2.50GHz,4562
Intel Core 860 , 2.80GHz,4555
AMD Athlon X4 750 Quad Core,,4551
Intel Core i5 4330M , 2.80GHz,4551
AMD FX 670K Quad Core,,4550
Intel Core i5 4400E , 2.70GHz,4548
Intel Core i7 3520M , 2.90GHz,4547
AMD FirePro A320 APU,,4540
Intel Core i5 4210H , 2.90GHz,4532
Intel Xeon X5482 , 3.20GHz,4528
AMD Opteron 2431,,4516
Intel Xeon X3440 , 2.53GHz,4509
Intel Xeon E5 2637 , 3.00GHz,4508
AMD Opteron 6128,,4505
Intel Core2 Extreme X9750 , 3.16GHz,4504
Intel Xeon E5530 , 2.40GHz,4494
Intel Core i3 4170T , 3.20GHz,4489
Intel Core i5 3470T , 2.90GHz,4489
AMD Phenom II X4 980,,4488
Intel Core i3 4330T , 3.00GHz,4485
AMD A10 9630P,,4474
Intel Core i7 6498DU , 2.50GHz,4470
Intel Core i3 3245 , 3.40GHz,4467
Intel Core i3 4160T , 3.10GHz,4465
Intel Core i5 4200H , 2.80GHz,4461
Intel Core i3 3250 , 3.50GHz,4459
AMD Phenom II X4 975,,4450
Intel Core i5 4300M , 2.60GHz,4448
AMD Ryzen Embedded V1202B,,4447
Intel Core i5 3380M , 2.90GHz,4444
Intel Core i5 3360M , 2.80GHz,4437
Intel Core i7 6500U , 2.50GHz,4424
Intel Xeon E3 1220L V2 , 2.30GHz,4419
AMD Opteron 4184,,4418
AMD A12 9730P,,4417
Intel Core i5 5257U , 2.70GHz,4411
Intel Core i7 4558U , 2.80GHz,4401
AMD A8 6500 APU,,4393
Intel Xeon L5530 , 2.40GHz,4389
Intel Xeon E5520 , 2.27GHz,4380
AMD PRO A10 9700B,,4380
Intel Core i5 4278U , 2.60GHz,4371
Intel Core i5 6300U , 2.40GHz,4365
AMD RX 427BB,,4364
Intel Core i5 6260U , 1.80GHz,4361
Intel Core i3 3225 , 3.30GHz,4346
Intel Pentium Gold G5500T , 3.20GHz,4346
AMD A8 5600K APU,,4341
Intel Core i5 8200Y , 1.30GHz,4339
Intel Xeon L5630 , 2.13GHz,4338
Intel Core i7 4560U , 1.60GHz,4329
